audit_size,adaptive_query_count,zcdp_rho_budget,score_dimension,method,population_gradient_bias_mean,clean_gradient_cosine_mean,false_positive_direction_rate,usable_release_rounds_mean,privacy_rho_spent_mean
128,10,1.0,2,generic_holdout_binary_release,0.058163733959722574,0.38471883582697713,0.6,10.0,0.0
128,10,1.0,2,naive_exact_audit_reuse,0.030237801009290067,0.9607104789808091,0.0,10.0,0.0
128,10,1.0,2,once_trained_private_reward_model,0.10343689251045643,0.6173568019967586,0.12,10.0,0.0
128,10,1.0,2,privacy_stable_reusable_audit_gradient,0.04726420280596868,0.8696317293182048,0.0,10.0,0.9999999999999998
128,10,1.0,2,reusable_holdout_thresholdout,0.03549597266860162,0.9443751497524431,0.0,10.0,0.0
128,10,1.0,8,H001_single_query_correction,0.012966822149780847,0.9874558241914075,0.0,10.0,0.0
128,10,1.0,8,disjoint_sample_splitting,0.028885360235389596,0.9428544218270456,0.0,4.0,0.0
128,10,1.0,8,fresh_audit_oracle,0.0,1.0,0.0,10.0,0.0
128,10,1.0,8,generic_holdout_binary_release,0.026502852053904197,0.9097025389314665,0.06,10.0,0.0
128,10,1.0,8,naive_exact_audit_reuse,0.018811164952548615,0.9762840673680506,0.0,10.0,0.0
128,10,1.0,8,once_trained_private_reward_model,0.21554120911692493,0.3847530407492993,0.04,10.0,0.0
128,10,1.0,8,privacy_stable_reusable_audit_gradient,0.09549859023715856,0.6257225149445439,0.0,10.0,0.9999999999999998
128,10,1.0,8,reusable_holdout_thresholdout,0.022884661281128777,0.9667424986062378,0.0,10.0,0.0
128,10,1.0,32,H001_single_query_correction,0.008503364840532938,0.9945069208503032,0.0,10.0,0.0
128,10,1.0,32,disjoint_sample_splitting,0.01757129266167968,0.9758359060568316,0.0,4.0,0.0
128,10,1.0,32,fresh_audit_oracle,0.0,1.0,0.0,10.0,0.0
128,10,1.0,32,generic_holdout_binary_release,0.012595148812610351,0.9881971287807181,0.0,10.0,0.0
128,10,1.0,32,naive_exact_audit_reuse,0.0090295497500935,0.9937328024130035,0.0,10.0,0.0
128,10,1.0,32,once_trained_private_reward_model,0.49929262853832074,0.12735061208849924,0.26,10.0,0.0
128,10,1.0,32,privacy_stable_reusable_audit_gradient,0.19021789299708675,0.38441136447076046,0.02,10.0,0.9999999999999998
128,10,1.0,32,reusable_holdout_thresholdout,0.012595148812610351,0.9881971287807181,0.0,10.0,0.0
128,10,3.0,2,H001_single_query_correction,0.027660222634079985,0.9738322854366072,0.0,10.0,0.0
128,10,3.0,2,disjoint_sample_splitting,0.05932914022551057,0.759498256258794,0.05,4.0,0.0
128,10,3.0,2,fresh_audit_oracle,0.0,1.0,0.0,10.0,0.0
128,10,3.0,2,generic_holdout_binary_release,0.058163733959722574,0.38471883582697713,0.6,10.0,0.0
128,10,3.0,2,naive_exact_audit_reuse,0.030237801009290067,0.9607104789808091,0.0,10.0,0.0
128,10,3.0,2,once_trained_private_reward_model,0.07099449148677915,0.6152248187868079,0.18000000000000002,10.0,0.0
128,10,3.0,2,privacy_stable_reusable_audit_gradient,0.03790180607688419,0.9286718987029514,0.0,10.0,2.9999999999999996
128,10,3.0,2,reusable_holdout_thresholdout,0.03576245181736508,0.9399247289812038,0.0,10.0,0.0
128,10,3.0,8,H001_single_query_correction,0.012966822149780847,0.9874558241914075,0.0,10.0,0.0
128,10,3.0,8,disjoint_sample_splitting,0.028885360235389596,0.9428544218270456,0.0,4.0,0.0
128,10,3.0,8,fresh_audit_oracle,0.0,1.0,0.0,10.0,0.0
128,10,3.0,8,generic_holdout_binary_release,0.026502852053904197,0.9097025389314665,0.06,10.0,0.0
128,10,3.0,8,naive_exact_audit_reuse,0.018811164952548615,0.9762840673680506,0.0,10.0,0.0
128,10,3.0,8,once_trained_private_reward_model,0.14247838389634754,0.5398360437189678,0.04,10.0,0.0
128,10,3.0,8,privacy_stable_reusable_audit_gradient,0.05323249728506535,0.833170981617695,0.0,10.0,2.9999999999999996
128,10,3.0,8,reusable_holdout_thresholdout,0.024797340683975082,0.9629075891739252,0.0,10.0,0.0
128,10,3.0,32,H001_single_query_correction,0.008503364840532938,0.9945069208503032,0.0,10.0,0.0
128,10,3.0,32,disjoint_sample_splitting,0.01757129266167968,0.9758359060568316,0.0,4.0,0.0
128,10,3.0,32,fresh_audit_oracle,0.0,1.0,0.0,10.0,0.0
128,10,3.0,32,generic_holdout_binary_release,0.012595148812610351,0.9881971287807181,0.0,10.0,0.0
128,10,3.0,32,naive_exact_audit_reuse,0.0090295497500935,0.9937328024130035,0.0,10.0,0.0
128,10,3.0,32,once_trained_private_reward_model,0.27562220140868926,0.2828127520749571,0.12000000000000002,10.0,0.0
128,10,3.0,32,privacy_stable_reusable_audit_gradient,0.11591113149213625,0.5646710898189006,0.0,10.0,2.9999999999999996
128,10,3.0,32,reusable_holdout_thresholdout,0.012595148812610351,0.9881971287807181,0.0,10.0,0.0
128,50,0.1,2,H001_single_query_correction,0.02763095521492239,0.9738871750315783,0.0,50.0,0.0
128,50,0.1,2,disjoint_sample_splitting,0.05932914022551057,0.759498256258794,0.05,4.0,0.0
128,50,0.1,2,fresh_audit_oracle,0.0,1.0,0.0,50.0,0.0
128,50,0.1,2,generic_holdout_binary_release,0.0576268205647983,0.386227983944309,0.6,50.0,0.0
128,50,0.1,2,naive_exact_audit_reuse,0.030599792788875323,0.9616262429842186,0.0,50.0,0.0
128,50,0.1,2,once_trained_private_reward_model,0.38556396780714763,0.007775343271556445,0.332,50.0,0.0
128,50,0.1,2,privacy_stable_reusable_audit_gradient,0.31710677516837044,0.19527465547763773,0.356,50.0,0.10000000000000006
128,50,0.1,2,reusable_holdout_thresholdout,0.047660318041547335,0.8493022589304307,0.0,50.0,0.0
128,50,0.1,8,H001_single_query_correction,0.012892786919229968,0.9876053341663699,0.0,50.0,0.0
128,50,0.1,8,disjoint_sample_splitting,0.028885360235389596,0.9428544218270456,0.0,4.0,0.0
128,50,0.1,8,fresh_audit_oracle,0.0,1.0,0.0,50.0,0.0
128,50,0.1,8,generic_holdout_binary_release,0.02806297408476442,0.8968938589615358,0.072,50.0,0.0
128,50,0.1,8,naive_exact_audit_reuse,0.01898064308795255,0.977546931373673,0.0,50.0,0.0
128,50,0.1,8,once_trained_private_reward_model,0.6898830983931953,-0.034757935978136575,0.584,50.0,0.0
128,50,0.1,8,privacy_stable_reusable_audit_gradient,0.6706291167637048,0.14902597611126445,0.316,50.0,0.10000000000000006
128,50,0.1,8,reusable_holdout_thresholdout,0.022604538586483803,0.9692116723576039,0.0,50.0,0.0
128,50,0.1,32,H001_single_query_correction,0.008500404682969443,0.9945120283949199,0.0,50.0,0.0
128,50,0.1,32,disjoint_sample_splitting,0.01757129266167968,0.9758359060568316,0.0,4.0,0.0
128,50,0.1,32,fresh_audit_oracle,0.0,1.0,0.0,50.0,0.0
128,50,0.1,32,generic_holdout_binary_release,0.012801514481978702,0.987977690981339,0.0,50.0,0.0
128,50,0.1,32,naive_exact_audit_reuse,0.009190932660253833,0.9934776747942538,0.0,50.0,0.0
128,50,0.1,32,once_trained_private_reward_model,1.377197448274615,0.1585264089087056,0.13999999999999999,50.0,0.0
128,50,0.1,32,privacy_stable_reusable_audit_gradient,1.3781104653587346,0.03177671642394521,0.43600000000000005,50.0,0.10000000000000006
128,50,0.1,32,reusable_holdout_thresholdout,0.012801514481978702,0.987977690981339,0.0,50.0,0.0
128,50,0.3,2,H001_single_query_correction,0.02763095521492239,0.9738871750315783,0.0,50.0,0.0
128,50,0.3,2,disjoint_sample_splitting,0.05932914022551057,0.759498256258794,0.05,4.0,0.0
128,50,0.3,2,fresh_audit_oracle,0.0,1.0,0.0,50.0,0.0
128,50,0.3,2,generic_holdout_binary_release,0.0576268205647983,0.386227983944309,0.6,50.0,0.0
128,50,0.3,2,naive_exact_audit_reuse,0.030599792788875323,0.9616262429842186,0.0,50.0,0.0
128,50,0.3,2,once_trained_private_reward_model,0.18393069015186075,0.3006688105048126,0.256,50.0,0.0
128,50,0.3,2,privacy_stable_reusable_audit_gradient,0.1811942227639314,0.33432508470542394,0.28400000000000003,50.0,0.30000000000000016
128,50,0.3,2,reusable_holdout_thresholdout,0.047074222852403466,0.8861651375827269,0.0,50.0,0.0
128,50,0.3,8,H001_single_query_correction,0.012892786919229968,0.9876053341663699,0.0,50.0,0.0
128,50,0.3,8,disjoint_sample_splitting,0.028885360235389596,0.9428544218270456,0.0,4.0,0.0
128,50,0.3,8,fresh_audit_oracle,0.0,1.0,0.0,50.0,0.0
128,50,0.3,8,generic_holdout_binary_release,0.02806297408476442,0.8968938589615358,0.072,50.0,0.0
128,50,0.3,8,naive_exact_audit_reuse,0.01898064308795255,0.977546931373673,0.0,50.0,0.0
128,50,0.3,8,once_trained_private_reward_model,0.43811574230067923,0.2616140541148449,0.22800000000000004,50.0,0.0
128,50,0.3,8,privacy_stable_reusable_audit_gradient,0.4073149603473828,0.17469209758878348,0.29200000000000004,50.0,0.30000000000000016
128,50,0.3,8,reusable_holdout_thresholdout,0.024019962582154202,0.9659365579511153,0.0,50.0,0.0
128,50,0.3,32,H001_single_query_correction,0.008500404682969443,0.9945120283949199,0.0,50.0,0.0
128,50,0.3,32,disjoint_sample_splitting,0.01757129266167968,0.9758359060568316,0.0,4.0,0.0
128,50,0.3,32,fresh_audit_oracle,0.0,1.0,0.0,50.0,0.0
128,50,0.3,32,generic_holdout_binary_release,0.012801514481978702,0.987977690981339,0.0,50.0,0.0
128,50,0.3,32,naive_exact_audit_reuse,0.009190932660253833,0.9934776747942538,0.0,50.0,0.0
128,50,0.3,32,once_trained_private_reward_model,0.9083099350500969,0.11684711046761417,0.168,50.0,0.0
128,50,0.3,32,privacy_stable_reusable_audit_gradient,0.8043733588750872,0.11367641312335479,0.276,50.0,0.30000000000000016
128,50,0.3,32,reusable_holdout_thresholdout,0.012801514481978702,0.987977690981339,0.0,50.0,0.0
128,50,1.0,2,H001_single_query_correction,0.02763095521492239,0.9738871750315783,0.0,50.0,0.0
128,50,1.0,2,disjoint_sample_splitting,0.05932914022551057,0.759498256258794,0.05,4.0,0.0
128,50,1.0,2,fresh_audit_oracle,0.0,1.0,0.0,50.0,0.0
128,50,1.0,2,generic_holdout_binary_release,0.0576268205647983,0.386227983944309,0.6,50.0,0.0
128,50,1.0,2,naive_exact_audit_reuse,0.030599792788875323,0.9616262429842186,0.0,50.0,0.0
128,50,1.0,2,once_trained_private_reward_model,0.07288770373516834,0.7553004338613075,0.024,50.0,0.0
128,50,1.0,2,privacy_stable_reusable_audit_gradient,0.10509179676213407,0.49698632300243395,0.20400000000000001,50.0,1.0000000000000004
128,50,1.0,2,reusable_holdout_thresholdout,0.04708232623973564,0.8511183377133019,0.0,50.0,0.0
128,50,1.0,8,H001_single_query_correction,0.012892786919229968,0.9876053341663699,0.0,50.0,0.0
128,50,1.0,8,disjoint_sample_splitting,0.028885360235389596,0.9428544218270456,0.0,4.0,0.0
128,50,1.0,8,fresh_audit_oracle,0.0,1.0,0.0,50.0,0.0
128,50,1.0,8,generic_holdout_binary_release,0.02806297408476442,0.8968938589615358,0.072,50.0,0.0
128,50,1.0,8,naive_exact_audit_reuse,0.01898064308795255,0.977546931373673,0.0,50.0,0.0
128,50,1.0,8,once_trained_private_reward_model,0.2049385668953851,0.3221353796937111,0.16,50.0,0.0
128,50,1.0,8,privacy_stable_reusable_audit_gradient,0.21509968673682814,0.2882342150440123,0.184,50.0,1.0000000000000004
128,50,1.0,8,reusable_holdout_thresholdout,0.024244488710770944,0.9630700062853637,0.0,50.0,0.0
128,50,1.0,32,H001_single_query_correction,0.008500404682969443,0.9945120283949199,0.0,50.0,0.0
128,50,1.0,32,disjoint_sample_splitting,0.01757129266167968,0.9758359060568316,0.0,4.0,0.0
128,50,1.0,32,fresh_audit_oracle,0.0,1.0,0.0,50.0,0.0
128,50,1.0,32,generic_holdout_binary_release,0.012801514481978702,0.987977690981339,0.0,50.0,0.0
128,50,1.0,32,naive_exact_audit_reuse,0.009190932660253833,0.9934776747942538,0.0,50.0,0.0
128,50,1.0,32,once_trained_private_reward_model,0.49140917595398337,0.18897482169857777,0.07999999999999999,50.0,0.0
128,50,1.0,32,privacy_stable_reusable_audit_gradient,0.4435264940327205,0.18327142791362866,0.14400000000000002,50.0,1.0000000000000004
128,50,1.0,32,reusable_holdout_thresholdout,0.012801514481978702,0.987977690981339,0.0,50.0,0.0
128,50,3.0,2,H001_single_query_correction,0.02763095521492239,0.9738871750315783,0.0,50.0,0.0
128,50,3.0,2,disjoint_sample_splitting,0.05932914022551057,0.759498256258794,0.05,4.0,0.0
128,50,3.0,2,fresh_audit_oracle,0.0,1.0,0.0,50.0,0.0
128,50,3.0,2,generic_holdout_binary_release,0.0576268205647983,0.386227983944309,0.6,50.0,0.0
128,50,3.0,2,naive_exact_audit_reuse,0.030599792788875323,0.9616262429842186,0.0,50.0,0.0
128,50,3.0,2,once_trained_private_reward_model,0.07128681545606834,0.7788173772108905,0.0,50.0,0.0
128,50,3.0,2,privacy_stable_reusable_audit_gradient,0.06633499426656378,0.7984022166306926,0.04,50.0,3.000000000000002
128,50,3.0,2,reusable_holdout_thresholdout,0.04763408905060239,0.887069576665187,0.0,50.0,0.0
128,50,3.0,8,H001_single_query_correction,0.012892786919229968,0.9876053341663699,0.0,50.0,0.0
128,50,3.0,8,disjoint_sample_splitting,0.028885360235389596,0.9428544218270456,0.0,4.0,0.0
128,50,3.0,8,fresh_audit_oracle,0.0,1.0,0.0,50.0,0.0
128,50,3.0,8,generic_holdout_binary_release,0.02806297408476442,0.8968938589615358,0.072,50.0,0.0
128,50,3.0,8,naive_exact_audit_reuse,0.01898064308795255,0.977546931373673,0.0,50.0,0.0
128,50,3.0,8,once_trained_private_reward_model,0.13254499611473278,0.5268411147243165,0.0,50.0,0.0
128,50,3.0,8,privacy_stable_reusable_audit_gradient,0.12348678806236105,0.5502182822031397,0.027999999999999997,50.0,3.000000000000002
128,50,3.0,8,reusable_holdout_thresholdout,0.024796709449657874,0.9667051574119778,0.0,50.0,0.0
128,50,3.0,32,H001_single_query_correction,0.008500404682969443,0.9945120283949199,0.0,50.0,0.0
128,50,3.0,32,disjoint_sample_splitting,0.01757129266167968,0.9758359060568316,0.0,4.0,0.0
128,50,3.0,32,fresh_audit_oracle,0.0,1.0,0.0,50.0,0.0
128,50,3.0,32,generic_holdout_binary_release,0.012801514481978702,0.987977690981339,0.0,50.0,0.0
128,50,3.0,32,naive_exact_audit_reuse,0.009190932660253833,0.9934776747942538,0.0,50.0,0.0
